PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=81 ttl=117 time=185 ms
1408 bytes from 8.8.8.8: icmp_seq=82 ttl=117 time=156 ms
1408 bytes from 8.8.8.8: icmp_seq=83 ttl=117 time=105 ms
1408 bytes from 8.8.8.8: icmp_seq=84 ttl=117 time=110 ms
1408 bytes from 8.8.8.8: icmp_seq=85 ttl=117 time=81.8 ms
1408 bytes from 8.8.8.8: icmp_seq=86 ttl=117 time=260 ms
1408 bytes from 8.8.8.8: icmp_seq=87 ttl=117 time=140 ms
1408 bytes from 8.8.8.8: icmp_seq=88 ttl=117 time=135 ms
1408 bytes from 8.8.8.8: icmp_seq=89 ttl=117 time=253 ms
1408 bytes from 8.8.8.8: icmp_seq=90 ttl=117 time=234 ms
1408 bytes from 8.8.8.8: icmp_seq=91 ttl=117 time=230 ms
1408 bytes from 8.8.8.8: icmp_seq=92 ttl=117 time=198 ms
1408 bytes from 8.8.8.8: icmp_seq=93 ttl=117 time=157 ms
1408 bytes from 8.8.8.8: icmp_seq=94 ttl=117 time=129 ms
1408 bytes from 8.8.8.8: icmp_seq=95 ttl=117 time=337 ms
1408 bytes from 8.8.8.8: icmp_seq=96 ttl=117 time=135 ms
1408 bytes from 8.8.8.8: icmp_seq=97 ttl=117 time=44.9 ms
1408 bytes from 8.8.8.8: icmp_seq=98 ttl=117 time=81.8 ms
1408 bytes from 8.8.8.8: icmp_seq=99 ttl=117 time=102 ms
1408 bytes from 8.8.8.8: icmp_seq=100 ttl=117 time=257 ms
1408 bytes from 8.8.8.8: icmp_seq=101 ttl=117 time=265 ms
1408 bytes from 8.8.8.8: icmp_seq=102 ttl=117 time=272 ms
1408 bytes from 8.8.8.8: icmp_seq=103 ttl=117 time=350 ms
1408 bytes from 8.8.8.8: icmp_seq=104 ttl=117 time=275 ms
1408 bytes from 8.8.8.8: icmp_seq=105 ttl=117 time=207 ms
1408 bytes from 8.8.8.8: icmp_seq=106 ttl=117 time=135 ms
1408 bytes from 8.8.8.8: icmp_seq=107 ttl=117 time=171 ms
1408 bytes from 8.8.8.8: icmp_seq=108 ttl=117 time=191 ms
1408 bytes from 8.8.8.8: icmp_seq=109 ttl=117 time=129 ms
1408 bytes from 8.8.8.8: icmp_seq=110 ttl=117 time=144 ms
1408 bytes from 8.8.8.8: icmp_seq=111 ttl=117 time=130 ms
1408 bytes from 8.8.8.8: icmp_seq=112 ttl=117 time=147 ms
1408 bytes from 8.8.8.8: icmp_seq=113 ttl=117 time=201 ms
1408 bytes from 8.8.8.8: icmp_seq=114 ttl=117 time=317 ms
1408 bytes from 8.8.8.8: icmp_seq=115 ttl=117 time=551 ms
1408 bytes from 8.8.8.8: icmp_seq=116 ttl=117 time=569 ms
1408 bytes from 8.8.8.8: icmp_seq=117 ttl=117 time=439 ms
1408 bytes from 8.8.8.8: icmp_seq=118 ttl=117 time=250 ms
1408 bytes from 8.8.8.8: icmp_seq=119 ttl=117 time=214 ms
1408 bytes from 8.8.8.8: icmp_seq=120 ttl=117 time=49.1 ms
1408 bytes from 8.8.8.8: icmp_seq=121 ttl=117 time=80.3 ms
1408 bytes from 8.8.8.8: icmp_seq=122 ttl=117 time=171 ms
1408 bytes from 8.8.8.8: icmp_seq=123 ttl=117 time=104 ms
1408 bytes from 8.8.8.8: icmp_seq=124 ttl=117 time=140 ms
1408 bytes from 8.8.8.8: icmp_seq=125 ttl=117 time=77.4 ms
1408 bytes from 8.8.8.8: icmp_seq=126 ttl=117 time=50.7 ms
1408 bytes from 8.8.8.8: icmp_seq=127 ttl=117 time=83.9 ms
1408 bytes from 8.8.8.8: icmp_seq=128 ttl=117 time=92.8 ms
1408 bytes from 8.8.8.8: icmp_seq=129 ttl=117 time=54.1 ms
1408 bytes from 8.8.8.8: icmp_seq=130 ttl=117 time=84.5 ms
1408 bytes from 8.8.8.8: icmp_seq=131 ttl=117 time=168 ms
1408 bytes from 8.8.8.8: icmp_seq=132 ttl=117 time=107 ms
1408 bytes from 8.8.8.8: icmp_seq=133 ttl=117 time=212 ms
1408 bytes from 8.8.8.8: icmp_seq=134 ttl=117 time=197 ms
1408 bytes from 8.8.8.8: icmp_seq=135 ttl=117 time=81.2 ms
1408 bytes from 8.8.8.8: icmp_seq=136 ttl=117 time=262 ms
1408 bytes from 8.8.8.8: icmp_seq=137 ttl=117 time=472 ms
1408 bytes from 8.8.8.8: icmp_seq=138 ttl=117 time=463 ms
1408 bytes from 8.8.8.8: icmp_seq=139 ttl=117 time=373 ms
1408 bytes from 8.8.8.8: icmp_seq=140 ttl=117 time=258 ms
1408 bytes from 8.8.8.8: icmp_seq=141 ttl=117 time=179 ms
1408 bytes from 8.8.8.8: icmp_seq=142 ttl=117 time=91.6 ms
1408 bytes from 8.8.8.8: icmp_seq=143 ttl=117 time=63.6 ms
1408 bytes from 8.8.8.8: icmp_seq=144 ttl=117 time=56.4 ms
1408 bytes from 8.8.8.8: icmp_seq=145 ttl=117 time=67.3 ms
1408 bytes from 8.8.8.8: icmp_seq=146 ttl=117 time=57.5 ms
1408 bytes from 8.8.8.8: icmp_seq=147 ttl=117 time=70.5 ms
1408 bytes from 8.8.8.8: icmp_seq=148 ttl=117 time=50.5 ms
1408 bytes from 8.8.8.8: icmp_seq=149 ttl=117 time=132 ms
1408 bytes from 8.8.8.8: icmp_seq=150 ttl=117 time=45.8 ms
1408 bytes from 8.8.8.8: icmp_seq=151 ttl=117 time=57.0 ms
1408 bytes from 8.8.8.8: icmp_seq=152 ttl=117 time=87.8 ms
1408 bytes from 8.8.8.8: icmp_seq=153 ttl=117 time=89.1 ms
1408 bytes from 8.8.8.8: icmp_seq=154 ttl=117 time=180 ms
1408 bytes from 8.8.8.8: icmp_seq=155 ttl=117 time=103 ms
1408 bytes from 8.8.8.8: icmp_seq=156 ttl=117 time=88.7 ms
1408 bytes from 8.8.8.8: icmp_seq=157 ttl=117 time=41.9 ms
1408 bytes from 8.8.8.8: icmp_seq=158 ttl=117 time=164 ms
1408 bytes from 8.8.8.8: icmp_seq=159 ttl=117 time=126 ms
1408 bytes from 8.8.8.8: icmp_seq=160 ttl=117 time=198 ms
1408 bytes from 8.8.8.8: icmp_seq=161 ttl=117 time=237 ms
1408 bytes from 8.8.8.8: icmp_seq=162 ttl=117 time=282 ms
1408 bytes from 8.8.8.8: icmp_seq=163 ttl=117 time=456 ms
1408 bytes from 8.8.8.8: icmp_seq=164 ttl=117 time=442 ms
1408 bytes from 8.8.8.8: icmp_seq=165 ttl=117 time=423 ms
1408 bytes from 8.8.8.8: icmp_seq=166 ttl=117 time=290 ms
1408 bytes from 8.8.8.8: icmp_seq=167 ttl=117 time=151 ms
1408 bytes from 8.8.8.8: icmp_seq=168 ttl=117 time=84.3 ms
1408 bytes from 8.8.8.8: icmp_seq=169 ttl=117 time=114 ms
1408 bytes from 8.8.8.8: icmp_seq=170 ttl=117 time=125 ms
1408 bytes from 8.8.8.8: icmp_seq=171 ttl=117 time=61.3 ms
1408 bytes from 8.8.8.8: icmp_seq=172 ttl=117 time=113 ms
1408 bytes from 8.8.8.8: icmp_seq=173 ttl=117 time=71.8 ms
1408 bytes from 8.8.8.8: icmp_seq=174 ttl=117 time=58.9 ms
1408 bytes from 8.8.8.8: icmp_seq=175 ttl=117 time=186 ms
1408 bytes from 8.8.8.8: icmp_seq=176 ttl=117 time=37.0 ms
1408 bytes from 8.8.8.8: icmp_seq=177 ttl=117 time=58.9 ms
1408 bytes from 8.8.8.8: icmp_seq=178 ttl=117 time=176 ms
1408 bytes from 8.8.8.8: icmp_seq=179 ttl=117 time=142 ms
1408 bytes from 8.8.8.8: icmp_seq=180 ttl=117 time=79.1 ms
1408 bytes from 8.8.8.8: icmp_seq=181 ttl=117 time=93.9 ms
1408 bytes from 8.8.8.8: icmp_seq=182 ttl=117 time=60.4 ms
1408 bytes from 8.8.8.8: icmp_seq=183 ttl=117 time=110 ms
1408 bytes from 8.8.8.8: icmp_seq=184 ttl=117 time=182 ms
1408 bytes from 8.8.8.8: icmp_seq=185 ttl=117 time=182 ms
1408 bytes from 8.8.8.8: icmp_seq=186 ttl=117 time=213 ms
1408 bytes from 8.8.8.8: icmp_seq=187 ttl=117 time=97.5 ms
1408 bytes from 8.8.8.8: icmp_seq=188 ttl=117 time=51.0 ms
1408 bytes from 8.8.8.8: icmp_seq=189 ttl=117 time=131 ms
1408 bytes from 8.8.8.8: icmp_seq=190 ttl=117 time=218 ms
1408 bytes from 8.8.8.8: icmp_seq=191 ttl=117 time=115 ms
1408 bytes from 8.8.8.8: icmp_seq=192 ttl=117 time=115 ms
1408 bytes from 8.8.8.8: icmp_seq=193 ttl=117 time=243 ms
1408 bytes from 8.8.8.8: icmp_seq=194 ttl=117 time=189 ms
1408 bytes from 8.8.8.8: icmp_seq=195 ttl=117 time=192 ms
1408 bytes from 8.8.8.8: icmp_seq=196 ttl=117 time=85.2 ms
1408 bytes from 8.8.8.8: icmp_seq=197 ttl=117 time=43.1 ms
1408 bytes from 8.8.8.8: icmp_seq=198 ttl=117 time=132 ms
1408 bytes from 8.8.8.8: icmp_seq=199 ttl=117 time=89.1 ms
1408 bytes from 8.8.8.8: icmp_seq=200 ttl=117 time=36.2 ms
1408 bytes from 8.8.8.8: icmp_seq=201 ttl=117 time=80.0 ms
1408 bytes from 8.8.8.8: icmp_seq=202 ttl=117 time=46.5 ms
1408 bytes from 8.8.8.8: icmp_seq=203 ttl=117 time=79.9 ms
1408 bytes from 8.8.8.8: icmp_seq=204 ttl=117 time=159 ms
1408 bytes from 8.8.8.8: icmp_seq=205 ttl=117 time=72.8 ms
1408 bytes from 8.8.8.8: icmp_seq=206 ttl=117 time=59.8 ms
1408 bytes from 8.8.8.8: icmp_seq=207 ttl=117 time=117 ms
1408 bytes from 8.8.8.8: icmp_seq=208 ttl=117 time=98.6 ms
1408 bytes from 8.8.8.8: icmp_seq=209 ttl=117 time=69.6 ms
1408 bytes from 8.8.8.8: icmp_seq=210 ttl=117 time=57.3 ms
1408 bytes from 8.8.8.8: icmp_seq=211 ttl=117 time=68.4 ms
1408 bytes from 8.8.8.8: icmp_seq=212 ttl=117 time=200 ms
1408 bytes from 8.8.8.8: icmp_seq=213 ttl=117 time=114 ms
1408 bytes from 8.8.8.8: icmp_seq=214 ttl=117 time=106 ms
1408 bytes from 8.8.8.8: icmp_seq=215 ttl=117 time=93.6 ms
1408 bytes from 8.8.8.8: icmp_seq=216 ttl=117 time=134 ms
1408 bytes from 8.8.8.8: icmp_seq=217 ttl=117 time=141 ms
1408 bytes from 8.8.8.8: icmp_seq=218 ttl=117 time=97.4 ms
1408 bytes from 8.8.8.8: icmp_seq=219 ttl=117 time=293 ms
1408 bytes from 8.8.8.8: icmp_seq=220 ttl=117 time=323 ms
1408 bytes from 8.8.8.8: icmp_seq=221 ttl=117 time=322 ms
1408 bytes from 8.8.8.8: icmp_seq=222 ttl=117 time=207 ms
1408 bytes from 8.8.8.8: icmp_seq=223 ttl=117 time=241 ms
1408 bytes from 8.8.8.8: icmp_seq=224 ttl=117 time=145 ms
1408 bytes from 8.8.8.8: icmp_seq=225 ttl=117 time=98.3 ms
1408 bytes from 8.8.8.8: icmp_seq=226 ttl=117 time=103 ms
1408 bytes from 8.8.8.8: icmp_seq=227 ttl=117 time=91.5 ms
1408 bytes from 8.8.8.8: icmp_seq=228 ttl=117 time=57.4 ms
1408 bytes from 8.8.8.8: icmp_seq=229 ttl=117 time=67.0 ms
1408 bytes from 8.8.8.8: icmp_seq=230 ttl=117 time=95.8 ms
1408 bytes from 8.8.8.8: icmp_seq=231 ttl=117 time=295 ms
1408 bytes from 8.8.8.8: icmp_seq=232 ttl=117 time=317 ms
1408 bytes from 8.8.8.8: icmp_seq=233 ttl=117 time=296 ms
1408 bytes from 8.8.8.8: icmp_seq=234 ttl=117 time=236 ms
1408 bytes from 8.8.8.8: icmp_seq=235 ttl=117 time=223 ms
1408 bytes from 8.8.8.8: icmp_seq=236 ttl=117 time=248 ms
1408 bytes from 8.8.8.8: icmp_seq=237 ttl=117 time=299 ms
1408 bytes from 8.8.8.8: icmp_seq=238 ttl=117 time=480 ms
1408 bytes from 8.8.8.8: icmp_seq=239 ttl=117 time=553 ms
1408 bytes from 8.8.8.8: icmp_seq=240 ttl=117 time=565 ms
1408 bytes from 8.8.8.8: icmp_seq=241 ttl=117 time=519 ms
1408 bytes from 8.8.8.8: icmp_seq=242 ttl=117 time=496 ms
1408 bytes from 8.8.8.8: icmp_seq=243 ttl=117 time=413 ms
1408 bytes from 8.8.8.8: icmp_seq=244 ttl=117 time=311 ms
1408 bytes from 8.8.8.8: icmp_seq=245 ttl=117 time=270 ms
1408 bytes from 8.8.8.8: icmp_seq=246 ttl=117 time=209 ms
1408 bytes from 8.8.8.8: icmp_seq=247 ttl=117 time=125 ms
1408 bytes from 8.8.8.8: icmp_seq=248 ttl=117 time=132 ms
1408 bytes from 8.8.8.8: icmp_seq=249 ttl=117 time=152 ms
1408 bytes from 8.8.8.8: icmp_seq=250 ttl=117 time=277 ms
1408 bytes from 8.8.8.8: icmp_seq=251 ttl=117 time=140 ms
1408 bytes from 8.8.8.8: icmp_seq=252 ttl=117 time=29.1 ms
1408 bytes from 8.8.8.8: icmp_seq=253 ttl=117 time=318 ms
1408 bytes from 8.8.8.8: icmp_seq=254 ttl=117 time=211 ms
1408 bytes from 8.8.8.8: icmp_seq=255 ttl=117 time=146 ms
1408 bytes from 8.8.8.8: icmp_seq=256 ttl=117 time=215 ms
1408 bytes from 8.8.8.8: icmp_seq=257 ttl=117 time=131 ms
1408 bytes from 8.8.8.8: icmp_seq=258 ttl=117 time=124 ms
1408 bytes from 8.8.8.8: icmp_seq=259 ttl=117 time=83.0 ms
1408 bytes from 8.8.8.8: icmp_seq=260 ttl=117 time=166 ms
1408 bytes from 8.8.8.8: icmp_seq=261 ttl=117 time=287 ms
1408 bytes from 8.8.8.8: icmp_seq=262 ttl=117 time=187 ms
1408 bytes from 8.8.8.8: icmp_seq=263 ttl=117 time=66.0 ms
1408 bytes from 8.8.8.8: icmp_seq=264 ttl=117 time=168 ms
1408 bytes from 8.8.8.8: icmp_seq=265 ttl=117 time=264 ms
1408 bytes from 8.8.8.8: icmp_seq=266 ttl=117 time=201 ms
1408 bytes from 8.8.8.8: icmp_seq=267 ttl=117 time=116 ms
1408 bytes from 8.8.8.8: icmp_seq=268 ttl=117 time=264 ms
1408 bytes from 8.8.8.8: icmp_seq=269 ttl=117 time=131 ms
1408 bytes from 8.8.8.8: icmp_seq=270 ttl=117 time=134 ms
1408 bytes from 8.8.8.8: icmp_seq=271 ttl=117 time=48.6 ms
1408 bytes from 8.8.8.8: icmp_seq=272 ttl=117 time=67.0 ms
1408 bytes from 8.8.8.8: icmp_seq=273 ttl=117 time=73.5 ms
1408 bytes from 8.8.8.8: icmp_seq=274 ttl=117 time=36.7 ms
1408 bytes from 8.8.8.8: icmp_seq=275 ttl=117 time=149 ms
1408 bytes from 8.8.8.8: icmp_seq=276 ttl=117 time=228 ms
1408 bytes from 8.8.8.8: icmp_seq=277 ttl=117 time=151 ms
1408 bytes from 8.8.8.8: icmp_seq=278 ttl=117 time=76.6 ms
1408 bytes from 8.8.8.8: icmp_seq=279 ttl=117 time=49.9 ms
1408 bytes from 8.8.8.8: icmp_seq=280 ttl=117 time=59.1 ms
1408 bytes from 8.8.8.8: icmp_seq=281 ttl=117 time=51.7 ms
1408 bytes from 8.8.8.8: icmp_seq=282 ttl=117 time=63.4 ms
1408 bytes from 8.8.8.8: icmp_seq=283 ttl=117 time=32.5 ms
1408 bytes from 8.8.8.8: icmp_seq=284 ttl=117 time=42.8 ms
1408 bytes from 8.8.8.8: icmp_seq=285 ttl=117 time=36.0 ms
1408 bytes from 8.8.8.8: icmp_seq=286 ttl=117 time=47.1 ms
1408 bytes from 8.8.8.8: icmp_seq=287 ttl=117 time=39.9 ms
1408 bytes from 8.8.8.8: icmp_seq=288 ttl=117 time=49.3 ms
1408 bytes from 8.8.8.8: icmp_seq=289 ttl=117 time=79.8 ms
1408 bytes from 8.8.8.8: icmp_seq=290 ttl=117 time=121 ms
1408 bytes from 8.8.8.8: icmp_seq=291 ttl=117 time=128 ms
1408 bytes from 8.8.8.8: icmp_seq=292 ttl=117 time=88.6 ms
1408 bytes from 8.8.8.8: icmp_seq=293 ttl=117 time=48.2 ms
1408 bytes from 8.8.8.8: icmp_seq=294 ttl=117 time=63.4 ms
1408 bytes from 8.8.8.8: icmp_seq=295 ttl=117 time=45.9 ms
1408 bytes from 8.8.8.8: icmp_seq=296 ttl=117 time=46.8 ms
1408 bytes from 8.8.8.8: icmp_seq=297 ttl=117 time=40.0 ms
1408 bytes from 8.8.8.8: icmp_seq=298 ttl=117 time=69.3 ms
1408 bytes from 8.8.8.8: icmp_seq=299 ttl=117 time=46.1 ms
1408 bytes from 8.8.8.8: icmp_seq=300 ttl=117 time=42.2 ms
1408 bytes from 8.8.8.8: icmp_seq=301 ttl=117 time=36.3 ms
1408 bytes from 8.8.8.8: icmp_seq=302 ttl=117 time=30.2 ms
1408 bytes from 8.8.8.8: icmp_seq=303 ttl=117 time=38.9 ms
1408 bytes from 8.8.8.8: icmp_seq=304 ttl=117 time=59.8 ms
1408 bytes from 8.8.8.8: icmp_seq=305 ttl=117 time=53.3 ms
1408 bytes from 8.8.8.8: icmp_seq=306 ttl=117 time=51.9 ms
1408 bytes from 8.8.8.8: icmp_seq=307 ttl=117 time=36.7 ms
1408 bytes from 8.8.8.8: icmp_seq=308 ttl=117 time=36.8 ms
1408 bytes from 8.8.8.8: icmp_seq=309 ttl=117 time=35.5 ms
1408 bytes from 8.8.8.8: icmp_seq=310 ttl=117 time=49.5 ms
1408 bytes from 8.8.8.8: icmp_seq=311 ttl=117 time=49.1 ms
1408 bytes from 8.8.8.8: icmp_seq=312 ttl=117 time=59.8 ms
1408 bytes from 8.8.8.8: icmp_seq=313 ttl=117 time=33.7 ms
1408 bytes from 8.8.8.8: icmp_seq=314 ttl=117 time=36.6 ms
1408 bytes from 8.8.8.8: icmp_seq=315 ttl=117 time=34.0 ms
1408 bytes from 8.8.8.8: icmp_seq=316 ttl=117 time=68.9 ms
1408 bytes from 8.8.8.8: icmp_seq=317 ttl=117 time=68.0 ms
1408 bytes from 8.8.8.8: icmp_seq=318 ttl=117 time=35.1 ms
1408 bytes from 8.8.8.8: icmp_seq=319 ttl=117 time=31.8 ms
1408 bytes from 8.8.8.8: icmp_seq=320 ttl=117 time=47.5 ms
1408 bytes from 8.8.8.8: icmp_seq=321 ttl=117 time=41.1 ms
1408 bytes from 8.8.8.8: icmp_seq=322 ttl=117 time=40.7 ms
1408 bytes from 8.8.8.8: icmp_seq=323 ttl=117 time=46.0 ms
1408 bytes from 8.8.8.8: icmp_seq=324 ttl=117 time=28.9 ms
1408 bytes from 8.8.8.8: icmp_seq=325 ttl=117 time=45.1 ms
1408 bytes from 8.8.8.8: icmp_seq=326 ttl=117 time=89.2 ms
1408 bytes from 8.8.8.8: icmp_seq=327 ttl=117 time=54.0 ms
1408 bytes from 8.8.8.8: icmp_seq=328 ttl=117 time=53.3 ms
1408 bytes from 8.8.8.8: icmp_seq=329 ttl=117 time=80.2 ms
1408 bytes from 8.8.8.8: icmp_seq=330 ttl=117 time=74.3 ms
