Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.mi2log

  [1.4s] 7334 bytes, 49 packets decoded
  [1.4s] 7398 bytes, 50 packets decoded
  [1.4s] 7462 bytes, 50 packets decoded
  [1.4s] 7526 bytes, 51 packets decoded
  [1.4s] 7590 bytes, 51 packets decoded
  [1.4s] 7654 bytes, 51 packets decoded
  [1.4s] 7718 bytes, 51 packets decoded
  [1.4s] 7782 bytes, 52 packets decoded
  [1.4s] 7846 bytes, 52 packets decoded
  [1.4s] 7910 bytes, 52 packets decoded
  [1.4s] 7974 bytes, 52 packets decoded
  [1.4s] 8038 bytes, 52 packets decoded
  [1.4s] 8102 bytes, 52 packets decoded
  [1.4s] 8166 bytes, 53 packets decoded
  [1.4s] 8230 bytes, 53 packets decoded
  [1.4s] 8294 bytes, 53 packets decoded
  [1.4s] 8358 bytes, 53 packets decoded
  [1.4s] 8422 bytes, 53 packets decoded
  [1.4s] 8486 bytes, 54 packets decoded
  [1.4s] 8550 bytes, 55 packets decoded
  [1.4s] 8614 bytes, 56 packets decoded
  [1.4s] 8678 bytes, 56 packets decoded
  [1.4s] 8742 bytes, 57 packets decoded
  [1.4s] 8806 bytes, 58 packets decoded
  [1.4s] 8870 bytes, 58 packets decoded
  [1.4s] 8934 bytes, 59 packets decoded
  [1.4s] 8998 bytes, 59 packets decoded
  [1.4s] 9062 bytes, 60 packets decoded
  [1.4s] 9126 bytes, 60 packets decoded
  [1.4s] 9190 bytes, 61 packets decoded
  [1.4s] 9254 bytes, 61 packets decoded
  [1.4s] 9318 bytes, 61 packets decoded
  [1.4s] 9382 bytes, 62 packets decoded
  [1.4s] 9446 bytes, 62 packets decoded
  [1.4s] 9510 bytes, 63 packets decoded
  [1.4s] 9574 bytes, 64 packets decoded
  [1.4s] 9638 bytes, 65 packets decoded
  [1.4s] 9702 bytes, 66 packets decoded
  [1.4s] 9766 bytes, 66 packets decoded
  [1.4s] 9830 bytes, 67 packets decoded
  [1.4s] 9894 bytes, 68 packets decoded
  [1.4s] 9958 bytes, 68 packets decoded
  [1.4s] 10022 bytes, 69 packets decoded
  [1.4s] 10086 bytes, 70 packets decoded
  [1.4s] 10150 bytes, 70 packets decoded
  [1.4s] 10214 bytes, 71 packets decoded
  [1.4s] 10278 bytes, 72 packets decoded
  [1.4s] 10342 bytes, 73 packets decoded
  [1.4s] 10406 bytes, 73 packets decoded
  [1.4s] 10470 bytes, 74 packets decoded
  [1.4s] 10534 bytes, 74 packets decoded
  [1.4s] 10598 bytes, 75 packets decoded
  [1.4s] 10662 bytes, 75 packets decoded
  [1.4s] 10726 bytes, 75 packets decoded
  [1.4s] 10790 bytes, 75 packets decoded
  [1.4s] 10854 bytes, 75 packets decoded
  [1.4s] 10918 bytes, 75 packets decoded
  [1.4s] 10982 bytes, 76 packets decoded
  [1.4s] 11046 bytes, 76 packets decoded
  [1.4s] 11110 bytes, 77 packets decoded
  [1.4s] 11174 bytes, 77 packets decoded
  [1.4s] 11238 bytes, 77 packets decoded
  [1.4s] 11302 bytes, 77 packets decoded
  [1.4s] 11366 bytes, 77 packets decoded
  [1.4s] 11430 bytes, 77 packets decoded
  [1.4s] 11494 bytes, 77 packets decoded
  [1.4s] 11558 bytes, 78 packets decoded
  [1.4s] 11622 bytes, 78 packets decoded
  [1.4s] 11686 bytes, 78 packets decoded
  [1.4s] 11750 bytes, 78 packets decoded
  [1.4s] 11814 bytes, 78 packets decoded
  [1.4s] 11878 bytes, 78 packets decoded
  [1.4s] 11942 bytes, 78 packets decoded
  [1.4s] 12006 bytes, 78 packets decoded
  [1.4s] 12070 bytes, 78 packets decoded
  [1.4s] 12134 bytes, 78 packets decoded
  [1.4s] 12198 bytes, 78 packets decoded
  [1.4s] 12262 bytes, 79 packets decoded
  [1.4s] 12326 bytes, 79 packets decoded
  [1.4s] 12390 bytes, 79 packets decoded
  [1.4s] 12454 bytes, 79 packets decoded
  [1.4s] 12518 bytes, 79 packets decoded
  [1.4s] 12582 bytes, 80 packets decoded
  [1.4s] 12646 bytes, 80 packets decoded
