Timestamp_Epoch,DateTime,Activity,State,Info
1775561917.222710864,2026-04-07 17:08:37.227,Browsing,START,Duration=53
1775561974.573371573,2026-04-07 17:09:34.578,Browsing,STOP,
1775561974.688686892,2026-04-07 17:09:34.693,GuardBand,START,Duration=7
1775561981.756780850,2026-04-07 17:09:41.757,GuardBand,STOP,
1775561981.806727599,2026-04-07 17:09:41.810,UploadBG,START,
1775562066.706650344,2026-04-07 17:11:06.711,GuardBand,START,Duration=7
1775562073.792707147,2026-04-07 17:11:13.797,GuardBand,STOP,
1775562073.861567390,2026-04-07 17:11:13.863,DataToggle,START,Duration=79
1775562161.386979227,2026-04-07 17:12:41.391,DataToggle,STOP,
1775562161.443402786,2026-04-07 17:12:41.444,GuardBand,START,Duration=7
1775562168.511889991,2026-04-07 17:12:48.513,GuardBand,STOP,
1775562168.552708904,2026-04-07 17:12:48.554,Browsing,START,Duration=86
1775562257.110072830,2026-04-07 17:14:17.114,Browsing,STOP,
1775562257.186319044,2026-04-07 17:14:17.190,GuardBand,START,Duration=7
1775562264.371219354,2026-04-07 17:14:24.372,GuardBand,STOP,
1775562269.766881610,2026-04-07 17:14:29.771,Browsing,START,Duration=77
1775562348.077939873,2026-04-07 17:15:48.080,Browsing,STOP,
1775562348.339589927,2026-04-07 17:15:48.344,GuardBand,START,Duration=7
1775562355.422857300,2026-04-07 17:15:55.427,GuardBand,STOP,
1775562355.477660629,2026-04-07 17:15:55.479,DataToggle,START,Duration=51
1775562415.117618492,2026-04-07 17:16:55.120,DataToggle,STOP,
1775562415.180366537,2026-04-07 17:16:55.185,GuardBand,START,Duration=7
1775562422.247608113,2026-04-07 17:17:02.252,GuardBand,STOP,
1775562427.596673383,2026-04-07 17:17:07.601,Browsing,START,Duration=51
1775562478.700044358,2026-04-07 17:17:58.701,Browsing,STOP,
1775562478.777122191,2026-04-07 17:17:58.779,GuardBand,START,Duration=7
1775562485.861310229,2026-04-07 17:18:05.866,GuardBand,STOP,
1775562485.925522170,2026-04-07 17:18:05.926,VoiceCall,START,Number=9310524847|Duration=68
1775562559.165707178,2026-04-07 17:19:19.170,VoiceCall,STOP,
1775562559.230770838,2026-04-07 17:19:19.235,GuardBand,START,Duration=7
1775562566.290358746,2026-04-07 17:19:26.294,GuardBand,STOP,
1775562566.341023739,2026-04-07 17:19:26.342,DataToggle,START,Duration=90
1775562664.976875945,2026-04-07 17:21:04.978,DataToggle,STOP,
1775562665.028764350,2026-04-07 17:21:05.031,GuardBand,START,Duration=7
1775562672.080047023,2026-04-07 17:21:12.084,GuardBand,STOP,
1775562672.158084729,2026-04-07 17:21:12.163,VoiceCall,START,Number=9310524847|Duration=63
1775562740.479773654,2026-04-07 17:22:20.484,VoiceCall,STOP,
1775562740.535200892,2026-04-07 17:22:20.538,GuardBand,START,Duration=7
1775562747.588630046,2026-04-07 17:22:27.593,GuardBand,STOP,
1775562747.657988208,2026-04-07 17:22:27.662,DataToggle,START,Duration=82
1775562838.306885427,2026-04-07 17:23:58.312,DataToggle,STOP,
1775562838.404576795,2026-04-07 17:23:58.405,GuardBand,START,Duration=7
1775562845.453083451,2026-04-07 17:24:05.458,GuardBand,STOP,
1775562845.532370783,2026-04-07 17:24:05.537,TrafficBurst,START,Duration=89
1775562937.547809343,2026-04-07 17:25:37.550,TrafficBurst,STOP,
1775562937.582614989,2026-04-07 17:25:37.585,GuardBand,START,Duration=7
1775562944.619467391,2026-04-07 17:25:44.623,GuardBand,STOP,
1775562949.867544340,2026-04-07 17:25:49.869,TrafficBurst,START,Duration=59
1775563011.253502228,2026-04-07 17:26:51.258,TrafficBurst,STOP,
1775563011.416870196,2026-04-07 17:26:51.417,GuardBand,START,Duration=7
1775563018.457807733,2026-04-07 17:26:58.460,GuardBand,STOP,
1775563018.516708815,2026-04-07 17:26:58.522,DataToggle,START,Duration=69
1775563096.031052239,2026-04-07 17:28:16.035,DataToggle,STOP,
1775563096.098700739,2026-04-07 17:28:16.103,GuardBand,START,Duration=7
1775563103.161336221,2026-04-07 17:28:23.166,GuardBand,STOP,
1775563103.237329047,2026-04-07 17:28:23.242,Browsing,START,Duration=53
1775563160.741357056,2026-04-07 17:29:20.744,Browsing,STOP,
1775563161.043380675,2026-04-07 17:29:21.046,GuardBand,START,Duration=7
1775563168.118806715,2026-04-07 17:29:28.125,GuardBand,STOP,
1775563179.299148752,2026-04-07 17:29:39.300,GuardBand,START,Duration=7
1775563186.356032153,2026-04-07 17:29:46.359,GuardBand,STOP,
1775563186.427000485,2026-04-07 17:29:46.432,UploadStress,START,Duration=54
1775563245.795408404,2026-04-07 17:30:45.796,UploadStress,STOP,
1775563245.822392062,2026-04-07 17:30:45.825,GuardBand,START,Duration=7
1775563252.992063643,2026-04-07 17:30:52.993,GuardBand,STOP,
1775563253.046630466,2026-04-07 17:30:53.051,DataToggle,START,Duration=70
1775563331.606883626,2026-04-07 17:32:11.611,DataToggle,STOP,
1775563331.673493248,2026-04-07 17:32:11.675,GuardBand,START,Duration=7
1775563338.733080150,2026-04-07 17:32:18.738,GuardBand,STOP,
1775563344.050235527,2026-04-07 17:32:24.055,TrafficBurst,START,Duration=63
1775563410.736479528,2026-04-07 17:33:30.738,TrafficBurst,STOP,
1775563410.987530947,2026-04-07 17:33:30.989,GuardBand,START,Duration=7
1775563418.083379900,2026-04-07 17:33:38.088,GuardBand,STOP,
1775563487.821043641,2026-04-07 17:34:47.822,GuardBand,START,Duration=7
1775563494.857327477,2026-04-07 17:34:54.862,GuardBand,STOP,
