Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162348/scenario_4_VoiceCall.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162348/scenario_4_VoiceCall.mi2log

  [1.1s] 7334 bytes, 48 packets decoded
  [1.1s] 7398 bytes, 49 packets decoded
  [1.1s] 7462 bytes, 50 packets decoded
  [1.1s] 7526 bytes, 50 packets decoded
  [1.1s] 7590 bytes, 51 packets decoded
  [1.1s] 7654 bytes, 51 packets decoded
  [1.1s] 7718 bytes, 51 packets decoded
  [1.1s] 7782 bytes, 51 packets decoded
  [1.1s] 7846 bytes, 51 packets decoded
  [1.1s] 7910 bytes, 52 packets decoded
  [1.1s] 7974 bytes, 52 packets decoded
  [1.1s] 8038 bytes, 52 packets decoded
  [1.1s] 8102 bytes, 53 packets decoded
  [1.1s] 8166 bytes, 54 packets decoded
  [1.1s] 8230 bytes, 54 packets decoded
  [1.1s] 8294 bytes, 54 packets decoded
  [1.1s] 8358 bytes, 54 packets decoded
  [1.1s] 8422 bytes, 54 packets decoded
  [1.1s] 8486 bytes, 54 packets decoded
  [1.1s] 8550 bytes, 55 packets decoded
  [1.1s] 8614 bytes, 55 packets decoded
  [1.1s] 8678 bytes, 55 packets decoded
  [1.1s] 8742 bytes, 56 packets decoded
  [1.1s] 8806 bytes, 56 packets decoded
  [1.1s] 8870 bytes, 57 packets decoded
  [1.1s] 8934 bytes, 57 packets decoded
  [1.1s] 8998 bytes, 58 packets decoded
  [1.1s] 9062 bytes, 59 packets decoded
  [1.1s] 9126 bytes, 59 packets decoded
  [1.1s] 9190 bytes, 59 packets decoded
  [1.1s] 9254 bytes, 59 packets decoded
  [1.1s] 9318 bytes, 59 packets decoded
  [1.1s] 9382 bytes, 60 packets decoded
  [1.1s] 9446 bytes, 60 packets decoded
  [1.1s] 9510 bytes, 61 packets decoded
  [1.1s] 9574 bytes, 62 packets decoded
  [1.1s] 9638 bytes, 62 packets decoded
  [1.1s] 9702 bytes, 63 packets decoded
  [1.1s] 9766 bytes, 63 packets decoded
  [1.1s] 9830 bytes, 63 packets decoded
  [1.1s] 9894 bytes, 63 packets decoded
  [1.1s] 9958 bytes, 64 packets decoded
  [1.1s] 10022 bytes, 65 packets decoded
  [1.1s] 10086 bytes, 65 packets decoded
  [1.1s] 10150 bytes, 65 packets decoded
  [1.1s] 10214 bytes, 65 packets decoded
  [1.1s] 10278 bytes, 66 packets decoded
  [1.1s] 10342 bytes, 66 packets decoded
  [1.1s] 10406 bytes, 66 packets decoded
  [1.1s] 10470 bytes, 66 packets decoded
  [1.1s] 10534 bytes, 66 packets decoded
  [1.1s] 10598 bytes, 66 packets decoded
  [1.1s] 10662 bytes, 66 packets decoded
  [1.1s] 10726 bytes, 67 packets decoded
  [1.1s] 10790 bytes, 67 packets decoded
  [1.1s] 10854 bytes, 67 packets decoded
  [1.1s] 10918 bytes, 67 packets decoded
  [1.1s] 10982 bytes, 68 packets decoded
  [1.1s] 11046 bytes, 68 packets decoded
  [1.1s] 11110 bytes, 68 packets decoded
  [1.1s] 11174 bytes, 69 packets decoded
  [1.1s] 11238 bytes, 69 packets decoded
  [1.1s] 11302 bytes, 69 packets decoded
  [1.1s] 11366 bytes, 69 packets decoded
  [1.1s] 11430 bytes, 69 packets decoded
  [1.1s] 11494 bytes, 69 packets decoded
  [1.1s] 11558 bytes, 69 packets decoded
  [1.1s] 11622 bytes, 69 packets decoded
  [1.1s] 11686 bytes, 69 packets decoded
  [1.1s] 11750 bytes, 69 packets decoded
  [1.1s] 11814 bytes, 69 packets decoded
  [1.1s] 11878 bytes, 69 packets decoded
  [1.1s] 11942 bytes, 69 packets decoded
  [1.1s] 12006 bytes, 69 packets decoded
  [1.1s] 12070 bytes, 69 packets decoded
  [1.1s] 12134 bytes, 69 packets decoded
  [1.1s] 12198 bytes, 69 packets decoded
  [1.1s] 12262 bytes, 69 packets decoded
  [1.1s] 12326 bytes, 69 packets decoded
  [1.1s] 12390 bytes, 69 packets decoded
  [1.1s] 12454 bytes, 69 packets decoded
  [1.1s] 12518 bytes, 69 packets decoded
  [1.1s] 12582 bytes, 70 packets decoded
  [1.1s] 12646 bytes, 70 packets decoded
  [1.1s] 12710 bytes, 71 packets decoded
  [1.1s] 12774 bytes, 71 packets decoded
  [1.1s] 12838 bytes, 71 packets decoded
  [1.1s] 12902 bytes, 71 packets decoded
  [1.1s] 12966 bytes, 71 packets decoded
  [1.1s] 13030 bytes, 71 packets decoded
  [1.1s] 13094 bytes, 71 packets decoded
  [1.1s] 13158 bytes, 72 packets decoded
  [1.1s] 13222 bytes, 73 packets decoded
  [1.1s] 13286 bytes, 73 packets decoded
  [1.1s] 13350 bytes, 74 packets decoded
  [1.1s] 13414 bytes, 75 packets decoded
  [1.1s] 13478 bytes, 76 packets decoded
  [1.1s] 13542 bytes, 76 packets decoded
  [1.1s] 13606 bytes, 77 packets decoded
  [1.1s] 13670 bytes, 77 packets decoded
  [1.1s] 13734 bytes, 78 packets decoded
  [1.1s] 13798 bytes, 78 packets decoded
  [1.1s] 13862 bytes, 79 packets decoded
  [1.1s] 13926 bytes, 79 packets decoded
  [1.1s] 13990 bytes, 79 packets decoded
  [1.1s] 14054 bytes, 79 packets decoded
  [1.1s] 14118 bytes, 79 packets decoded
  [1.1s] 14182 bytes, 80 packets decoded
  [1.1s] 14246 bytes, 81 packets decoded
  [1.1s] 14310 bytes, 82 packets decoded
  [1.1s] 14374 bytes, 82 packets decoded
  [1.1s] 14438 bytes, 83 packets decoded
  [1.1s] 14502 bytes, 84 packets decoded
  [1.1s] 14566 bytes, 84 packets decoded
  [1.1s] 14630 bytes, 84 packets decoded
  [1.1s] 14694 bytes, 84 packets decoded
  [1.1s] 14758 bytes, 84 packets decoded
  [1.1s] 14822 bytes, 85 packets decoded
  [1.1s] 14886 bytes, 86 packets decoded
  [1.1s] 14950 bytes, 87 packets decoded
  [1.1s] 15014 bytes, 87 packets decoded
  [1.2s] 15075 bytes, 88 packets decoded
  [2.7s] 15139 bytes, 89 packets decoded
  [2.7s] 15203 bytes, 89 packets decoded
  [2.7s] 15267 bytes, 89 packets decoded
  [2.7s] 15331 bytes, 89 packets decoded
  [2.7s] 15395 bytes, 89 packets decoded
  [2.7s] 15459 bytes, 89 packets decoded
  [2.7s] 15523 bytes, 89 packets decoded
  [2.7s] 15587 bytes, 89 packets decoded
  [2.7s] 15651 bytes, 89 packets decoded
  [2.7s] 15715 bytes, 89 packets decoded
  [2.7s] 15779 bytes, 89 packets decoded
  [2.7s] 15843 bytes, 89 packets decoded
  [2.7s] 15907 bytes, 89 packets decoded
  [2.7s] 15971 bytes, 89 packets decoded
  [2.7s] 16035 bytes, 89 packets decoded
  [2.7s] 16099 bytes, 89 packets decoded
  [2.7s] 16163 bytes, 89 packets decoded
  [2.7s] 16227 bytes, 89 packets decoded
  [2.7s] 16291 bytes, 89 packets decoded
  [2.7s] 16355 bytes, 89 packets decoded
  [2.7s] 16419 bytes, 89 packets decoded
  [2.7s] 16483 bytes, 89 packets decoded
  [2.7s] 16547 bytes, 89 packets decoded
  [2.7s] 16611 bytes, 89 packets decoded
  [2.7s] 16675 bytes, 89 packets decoded
  [2.7s] 16739 bytes, 89 packets decoded
  [2.7s] 16803 bytes, 89 packets decoded
  [2.7s] 16867 bytes, 89 packets decoded
  [2.7s] 16931 bytes, 89 packets decoded
  [2.7s] 16995 bytes, 89 packets decoded
  [2.7s] 17059 bytes, 89 packets decoded
  [2.7s] 17123 bytes, 89 packets decoded
  [2.7s] 17187 bytes, 90 packets decoded
  [2.7s] 17251 bytes, 90 packets decoded
  [2.7s] 17315 bytes, 91 packets decoded
  [2.7s] 17379 bytes, 92 packets decoded
  [2.7s] 17443 bytes, 93 packets decoded
  [2.7s] 17507 bytes, 93 packets decoded
  [2.7s] 17571 bytes, 94 packets decoded
  [2.7s] 17635 bytes, 95 packets decoded
  [2.7s] 17699 bytes, 96 packets decoded
  [2.7s] 17763 bytes, 96 packets decoded
  [2.7s] 17827 bytes, 96 packets decoded
  [2.7s] 17891 bytes, 96 packets decoded
  [2.7s] 17955 bytes, 96 packets decoded
  [2.7s] 18019 bytes, 96 packets decoded
  [2.7s] 18083 bytes, 96 packets decoded
  [2.7s] 18147 bytes, 97 packets decoded
  [2.7s] 18211 bytes, 97 packets decoded
  [2.7s] 18275 bytes, 97 packets decoded
  [2.7s] 18339 bytes, 98 packets decoded
  [2.7s] 18403 bytes, 98 packets decoded
  [2.7s] 18467 bytes, 99 packets decoded
  [2.7s] 18531 bytes, 99 packets decoded
  [2.7s] 18595 bytes, 99 packets decoded
  [2.7s] 18659 bytes, 99 packets decoded
  [2.7s] 18723 bytes, 99 packets decoded
  [2.7s] 18787 bytes, 99 packets decoded
  [2.7s] 18851 bytes, 99 packets decoded
  [2.7s] 18915 bytes, 99 packets decoded
  [2.7s] 18979 bytes, 100 packets decoded
  [2.7s] 19043 bytes, 100 packets decoded
  [2.7s] 19107 bytes, 100 packets decoded
  [2.7s] 19171 bytes, 100 packets decoded
  [2.7s] 19235 bytes, 100 packets decoded
  [2.7s] 19299 bytes, 100 packets decoded
  [2.7s] 19363 bytes, 100 packets decoded
  [2.7s] 19427 bytes, 100 packets decoded
  [2.7s] 19491 bytes, 100 packets decoded
  [2.7s] 19555 bytes, 100 packets decoded
  [2.7s] 19619 bytes, 100 packets decoded
  [2.7s] 19683 bytes, 101 packets decoded
  [2.7s] 19747 bytes, 101 packets decoded
  [2.7s] 19811 bytes, 101 packets decoded
  [2.7s] 19875 bytes, 102 packets decoded
  [2.7s] 19939 bytes, 102 packets decoded
  [2.7s] 20003 bytes, 102 packets decoded
  [2.7s] 20067 bytes, 103 packets decoded
  [2.7s] 20131 bytes, 103 packets decoded
  [2.7s] 20195 bytes, 104 packets decoded
  [2.7s] 20259 bytes, 104 packets decoded
  [2.7s] 20323 bytes, 104 packets decoded
  [2.7s] 20387 bytes, 104 packets decoded
  [2.7s] 20451 bytes, 104 packets decoded
  [2.7s] 20515 bytes, 104 packets decoded
  [2.7s] 20579 bytes, 104 packets decoded
  [2.7s] 20643 bytes, 105 packets decoded
  [2.7s] 20707 bytes, 105 packets decoded
  [2.7s] 20771 bytes, 105 packets decoded
  [2.7s] 20835 bytes, 105 packets decoded
  [2.7s] 20899 bytes, 105 packets decoded
  [2.7s] 20963 bytes, 105 packets decoded
  [2.7s] 21027 bytes, 105 packets decoded
  [2.7s] 21091 bytes, 105 packets decoded
  [2.7s] 21155 bytes, 105 packets decoded
  [2.7s] 21219 bytes, 105 packets decoded
  [2.7s] 21283 bytes, 105 packets decoded
  [2.7s] 21347 bytes, 105 packets decoded
  [2.7s] 21411 bytes, 105 packets decoded
  [2.7s] 21475 bytes, 106 packets decoded
  [2.7s] 21539 bytes, 106 packets decoded
  [2.7s] 21603 bytes, 106 packets decoded
  [2.7s] 21667 bytes, 106 packets decoded
  [2.7s] 21731 bytes, 106 packets decoded
  [2.7s] 21795 bytes, 106 packets decoded
  [2.7s] 21859 bytes, 107 packets decoded
  [2.7s] 21923 bytes, 108 packets decoded
  [2.7s] 21987 bytes, 108 packets decoded
  [2.7s] 22051 bytes, 108 packets decoded
  [2.7s] 22115 bytes, 108 packets decoded
  [2.7s] 22179 bytes, 108 packets decoded
  [2.7s] 22243 bytes, 108 packets decoded
  [2.7s] 22307 bytes, 109 packets decoded
  [2.7s] 22371 bytes, 109 packets decoded
  [2.7s] 22435 bytes, 110 packets decoded
  [2.7s] 22499 bytes, 110 packets decoded
  [2.7s] 22563 bytes, 110 packets decoded
  [2.7s] 22627 bytes, 111 packets decoded
  [2.7s] 22691 bytes, 112 packets decoded
  [2.7s] 22755 bytes, 112 packets decoded
  [2.7s] 22819 bytes, 113 packets decoded
  [2.7s] 22883 bytes, 113 packets decoded
  [2.7s] 22947 bytes, 114 packets decoded
  [2.7s] 23011 bytes, 115 packets decoded
  [2.7s] 23075 bytes, 115 packets decoded
  [2.7s] 23139 bytes, 116 packets decoded
  [2.7s] 23203 bytes, 117 packets decoded
  [2.7s] 23267 bytes, 118 packets decoded
  [2.7s] 23331 bytes, 119 packets decoded
  [2.7s] 23395 bytes, 119 packets decoded
  [2.7s] 23459 bytes, 119 packets decoded
  [2.7s] 23523 bytes, 119 packets decoded
  [2.7s] 23587 bytes, 119 packets decoded
  [2.7s] 23651 bytes, 119 packets decoded
  [2.7s] 23715 bytes, 120 packets decoded
  [2.7s] 23779 bytes, 120 packets decoded
  [2.7s] 23843 bytes, 120 packets decoded
  [2.7s] 23907 bytes, 120 packets decoded
  [2.7s] 23971 bytes, 120 packets decoded
  [2.7s] 24035 bytes, 121 packets decoded
  [2.7s] 24099 bytes, 121 packets decoded
  [2.7s] 24163 bytes, 121 packets decoded
  [2.7s] 24227 bytes, 122 packets decoded
  [2.7s] 24291 bytes, 122 packets decoded
  [2.7s] 24355 bytes, 122 packets decoded
  [2.7s] 24419 bytes, 122 packets decoded
  [2.7s] 24483 bytes, 123 packets decoded
  [2.7s] 24547 bytes, 124 packets decoded
  [2.7s] 24611 bytes, 124 packets decoded
  [2.7s] 24675 bytes, 124 packets decoded
  [2.7s] 24739 bytes, 125 packets decoded
  [2.7s] 24803 bytes, 125 packets decoded
  [2.7s] 24867 bytes, 126 packets decoded
  [2.7s] 24931 bytes, 127 packets decoded
  [2.7s] 24995 bytes, 128 packets decoded
  [2.7s] 25059 bytes, 128 packets decoded
  [2.7s] 25123 bytes, 128 packets decoded
  [2.7s] 25187 bytes, 129 packets decoded
  [2.7s] 25251 bytes, 130 packets decoded
  [2.7s] 25315 bytes, 131 packets decoded
  [2.7s] 25379 bytes, 132 packets decoded
  [2.7s] 25443 bytes, 133 packets decoded
  [2.7s] 25507 bytes, 133 packets decoded
  [2.7s] 25571 bytes, 134 packets decoded
  [2.7s] 25635 bytes, 134 packets decoded
  [2.7s] 25699 bytes, 135 packets decoded
  [2.7s] 25763 bytes, 136 packets decoded
  [2.7s] 25827 bytes, 137 packets decoded
  [2.7s] 25891 bytes, 138 packets decoded
  [2.7s] 25955 bytes, 138 packets decoded
  [2.7s] 26019 bytes, 139 packets decoded
  [2.7s] 26083 bytes, 139 packets decoded
  [2.7s] 26147 bytes, 140 packets decoded
  [2.7s] 26211 bytes, 141 packets decoded
  [2.7s] 26275 bytes, 142 packets decoded
  [2.7s] 26339 bytes, 143 packets decoded
  [2.7s] 26403 bytes, 144 packets decoded
  [2.7s] 26467 bytes, 145 packets decoded
  [2.7s] 26531 bytes, 146 packets decoded
  [2.7s] 26595 bytes, 146 packets decoded
  [2.7s] 26659 bytes, 147 packets decoded
  [2.7s] 26723 bytes, 148 packets decoded
  [2.7s] 26787 bytes, 149 packets decoded
  [2.7s] 26851 bytes, 149 packets decoded
  [2.7s] 26915 bytes, 150 packets decoded
  [2.7s] 26979 bytes, 150 packets decoded
  [2.7s] 27043 bytes, 151 packets decoded
  [2.7s] 27107 bytes, 152 packets decoded
  [2.7s] 27171 bytes, 152 packets decoded
  [2.7s] 27235 bytes, 152 packets decoded
  [2.7s] 27299 bytes, 153 packets decoded
  [2.8s] 27349 bytes, 154 packets decoded
  [3.0s] 27413 bytes, 155 packets decoded
  [3.0s] 27477 bytes, 155 packets decoded
  [3.0s] 27541 bytes, 156 packets decoded
  [3.0s] 27605 bytes, 156 packets decoded
  [3.0s] 27669 bytes, 157 packets decoded
