PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=1 ttl=116 time=65.7 ms
1408 bytes from 8.8.8.8: icmp_seq=2 ttl=116 time=29.6 ms
1408 bytes from 8.8.8.8: icmp_seq=3 ttl=116 time=85.9 ms
1408 bytes from 8.8.8.8: icmp_seq=4 ttl=116 time=43.9 ms
1408 bytes from 8.8.8.8: icmp_seq=5 ttl=116 time=43.6 ms
1408 bytes from 8.8.8.8: icmp_seq=6 ttl=116 time=45.7 ms
1408 bytes from 8.8.8.8: icmp_seq=7 ttl=116 time=43.0 ms
1408 bytes from 8.8.8.8: icmp_seq=8 ttl=116 time=154 ms
1408 bytes from 8.8.8.8: icmp_seq=9 ttl=116 time=46.8 ms
1408 bytes from 8.8.8.8: icmp_seq=10 ttl=116 time=92.1 ms
1408 bytes from 8.8.8.8: icmp_seq=11 ttl=116 time=33.3 ms
1408 bytes from 8.8.8.8: icmp_seq=12 ttl=116 time=55.1 ms
1408 bytes from 8.8.8.8: icmp_seq=13 ttl=116 time=42.2 ms
1408 bytes from 8.8.8.8: icmp_seq=14 ttl=116 time=92.7 ms
1408 bytes from 8.8.8.8: icmp_seq=15 ttl=116 time=31.9 ms
1408 bytes from 8.8.8.8: icmp_seq=16 ttl=116 time=506 ms
1408 bytes from 8.8.8.8: icmp_seq=17 ttl=116 time=335 ms
1408 bytes from 8.8.8.8: icmp_seq=18 ttl=116 time=127 ms
1408 bytes from 8.8.8.8: icmp_seq=19 ttl=116 time=37.3 ms
1408 bytes from 8.8.8.8: icmp_seq=20 ttl=116 time=34.2 ms
1408 bytes from 8.8.8.8: icmp_seq=21 ttl=116 time=121 ms
1408 bytes from 8.8.8.8: icmp_seq=22 ttl=116 time=29.8 ms
1408 bytes from 8.8.8.8: icmp_seq=23 ttl=116 time=29.7 ms
1408 bytes from 8.8.8.8: icmp_seq=24 ttl=116 time=32.5 ms
1408 bytes from 8.8.8.8: icmp_seq=25 ttl=116 time=41.8 ms
1408 bytes from 8.8.8.8: icmp_seq=26 ttl=116 time=52.8 ms
1408 bytes from 8.8.8.8: icmp_seq=27 ttl=116 time=26.1 ms
1408 bytes from 8.8.8.8: icmp_seq=28 ttl=116 time=70.0 ms
1408 bytes from 8.8.8.8: icmp_seq=29 ttl=116 time=46.9 ms
1408 bytes from 8.8.8.8: icmp_seq=30 ttl=116 time=36.4 ms
1408 bytes from 8.8.8.8: icmp_seq=31 ttl=116 time=36.6 ms
1408 bytes from 8.8.8.8: icmp_seq=32 ttl=116 time=26.0 ms
1408 bytes from 8.8.8.8: icmp_seq=33 ttl=116 time=26.0 ms
1408 bytes from 8.8.8.8: icmp_seq=34 ttl=116 time=27.3 ms
1408 bytes from 8.8.8.8: icmp_seq=35 ttl=116 time=50.8 ms
1408 bytes from 8.8.8.8: icmp_seq=36 ttl=116 time=38.8 ms
1408 bytes from 8.8.8.8: icmp_seq=37 ttl=116 time=36.8 ms
1408 bytes from 8.8.8.8: icmp_seq=38 ttl=116 time=27.0 ms
1408 bytes from 8.8.8.8: icmp_seq=39 ttl=116 time=30.4 ms
1408 bytes from 8.8.8.8: icmp_seq=40 ttl=116 time=30.4 ms
1408 bytes from 8.8.8.8: icmp_seq=41 ttl=116 time=33.6 ms
1408 bytes from 8.8.8.8: icmp_seq=42 ttl=116 time=30.0 ms
1408 bytes from 8.8.8.8: icmp_seq=43 ttl=116 time=42.7 ms
1408 bytes from 8.8.8.8: icmp_seq=44 ttl=116 time=26.8 ms
1408 bytes from 8.8.8.8: icmp_seq=45 ttl=116 time=36.9 ms
1408 bytes from 8.8.8.8: icmp_seq=46 ttl=116 time=25.6 ms
1408 bytes from 8.8.8.8: icmp_seq=47 ttl=116 time=31.5 ms
1408 bytes from 8.8.8.8: icmp_seq=48 ttl=116 time=28.2 ms
1408 bytes from 8.8.8.8: icmp_seq=49 ttl=116 time=57.7 ms
1408 bytes from 8.8.8.8: icmp_seq=50 ttl=116 time=28.5 ms
1408 bytes from 8.8.8.8: icmp_seq=51 ttl=116 time=96.7 ms
1408 bytes from 8.8.8.8: icmp_seq=52 ttl=116 time=23.8 ms
1408 bytes from 8.8.8.8: icmp_seq=53 ttl=116 time=41.0 ms
1408 bytes from 8.8.8.8: icmp_seq=54 ttl=116 time=31.9 ms
1408 bytes from 8.8.8.8: icmp_seq=55 ttl=116 time=29.5 ms
1408 bytes from 8.8.8.8: icmp_seq=56 ttl=116 time=28.0 ms
1408 bytes from 8.8.8.8: icmp_seq=57 ttl=116 time=46.9 ms
1408 bytes from 8.8.8.8: icmp_seq=58 ttl=116 time=25.2 ms
1408 bytes from 8.8.8.8: icmp_seq=59 ttl=116 time=30.2 ms
1408 bytes from 8.8.8.8: icmp_seq=60 ttl=116 time=38.4 ms
1408 bytes from 8.8.8.8: icmp_seq=61 ttl=116 time=35.8 ms
1408 bytes from 8.8.8.8: icmp_seq=62 ttl=116 time=44.5 ms
1408 bytes from 8.8.8.8: icmp_seq=63 ttl=116 time=32.5 ms
1408 bytes from 8.8.8.8: icmp_seq=64 ttl=116 time=27.4 ms
1408 bytes from 8.8.8.8: icmp_seq=65 ttl=116 time=25.3 ms
1408 bytes from 8.8.8.8: icmp_seq=66 ttl=116 time=25.0 ms
1408 bytes from 8.8.8.8: icmp_seq=67 ttl=116 time=27.7 ms
1408 bytes from 8.8.8.8: icmp_seq=68 ttl=116 time=36.4 ms
1408 bytes from 8.8.8.8: icmp_seq=69 ttl=116 time=25.0 ms
1408 bytes from 8.8.8.8: icmp_seq=70 ttl=116 time=29.3 ms
1408 bytes from 8.8.8.8: icmp_seq=71 ttl=116 time=34.5 ms
1408 bytes from 8.8.8.8: icmp_seq=72 ttl=116 time=32.7 ms
1408 bytes from 8.8.8.8: icmp_seq=73 ttl=116 time=31.1 ms
1408 bytes from 8.8.8.8: icmp_seq=74 ttl=116 time=43.6 ms
1408 bytes from 8.8.8.8: icmp_seq=75 ttl=116 time=52.9 ms
1408 bytes from 8.8.8.8: icmp_seq=76 ttl=116 time=117 ms
1408 bytes from 8.8.8.8: icmp_seq=77 ttl=116 time=28.5 ms
1408 bytes from 8.8.8.8: icmp_seq=78 ttl=116 time=31.9 ms
1408 bytes from 8.8.8.8: icmp_seq=79 ttl=116 time=27.8 ms
1408 bytes from 8.8.8.8: icmp_seq=80 ttl=116 time=27.3 ms
1408 bytes from 8.8.8.8: icmp_seq=81 ttl=116 time=54.2 ms
1408 bytes from 8.8.8.8: icmp_seq=82 ttl=116 time=23.9 ms
1408 bytes from 8.8.8.8: icmp_seq=83 ttl=116 time=41.2 ms
1408 bytes from 8.8.8.8: icmp_seq=84 ttl=116 time=24.3 ms
1408 bytes from 8.8.8.8: icmp_seq=85 ttl=116 time=48.2 ms
1408 bytes from 8.8.8.8: icmp_seq=86 ttl=116 time=46.4 ms
1408 bytes from 8.8.8.8: icmp_seq=87 ttl=116 time=39.7 ms
1408 bytes from 8.8.8.8: icmp_seq=88 ttl=116 time=43.3 ms
1408 bytes from 8.8.8.8: icmp_seq=89 ttl=116 time=43.3 ms
1408 bytes from 8.8.8.8: icmp_seq=90 ttl=116 time=29.0 ms
1408 bytes from 8.8.8.8: icmp_seq=91 ttl=116 time=57.2 ms
1408 bytes from 8.8.8.8: icmp_seq=92 ttl=116 time=48.3 ms
1408 bytes from 8.8.8.8: icmp_seq=93 ttl=116 time=51.1 ms
1408 bytes from 8.8.8.8: icmp_seq=94 ttl=116 time=34.9 ms
1408 bytes from 8.8.8.8: icmp_seq=95 ttl=116 time=72.2 ms
1408 bytes from 8.8.8.8: icmp_seq=96 ttl=116 time=56.9 ms
1408 bytes from 8.8.8.8: icmp_seq=97 ttl=116 time=86.7 ms
1408 bytes from 8.8.8.8: icmp_seq=98 ttl=116 time=78.0 ms
1408 bytes from 8.8.8.8: icmp_seq=99 ttl=116 time=87.8 ms
1408 bytes from 8.8.8.8: icmp_seq=100 ttl=116 time=75.3 ms
1408 bytes from 8.8.8.8: icmp_seq=101 ttl=116 time=98.8 ms
1408 bytes from 8.8.8.8: icmp_seq=102 ttl=116 time=69.9 ms
1408 bytes from 8.8.8.8: icmp_seq=103 ttl=116 time=147 ms
1408 bytes from 8.8.8.8: icmp_seq=104 ttl=116 time=159 ms
1408 bytes from 8.8.8.8: icmp_seq=105 ttl=116 time=123 ms
1408 bytes from 8.8.8.8: icmp_seq=106 ttl=116 time=78.8 ms
1408 bytes from 8.8.8.8: icmp_seq=107 ttl=116 time=104 ms
1408 bytes from 8.8.8.8: icmp_seq=108 ttl=116 time=103 ms
1408 bytes from 8.8.8.8: icmp_seq=109 ttl=116 time=38.8 ms
1408 bytes from 8.8.8.8: icmp_seq=110 ttl=116 time=132 ms
1408 bytes from 8.8.8.8: icmp_seq=111 ttl=116 time=81.2 ms
1408 bytes from 8.8.8.8: icmp_seq=112 ttl=116 time=76.5 ms
1408 bytes from 8.8.8.8: icmp_seq=113 ttl=116 time=105 ms
1408 bytes from 8.8.8.8: icmp_seq=114 ttl=116 time=97.2 ms
1408 bytes from 8.8.8.8: icmp_seq=115 ttl=116 time=42.2 ms
1408 bytes from 8.8.8.8: icmp_seq=116 ttl=116 time=52.5 ms
