PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=80 ttl=116 time=40.8 ms
1408 bytes from 8.8.8.8: icmp_seq=81 ttl=116 time=58.0 ms
1408 bytes from 8.8.8.8: icmp_seq=82 ttl=116 time=41.3 ms
1408 bytes from 8.8.8.8: icmp_seq=83 ttl=116 time=45.8 ms
1408 bytes from 8.8.8.8: icmp_seq=84 ttl=116 time=37.8 ms
1408 bytes from 8.8.8.8: icmp_seq=85 ttl=116 time=37.6 ms
1408 bytes from 8.8.8.8: icmp_seq=86 ttl=116 time=52.6 ms
1408 bytes from 8.8.8.8: icmp_seq=87 ttl=116 time=44.2 ms
1408 bytes from 8.8.8.8: icmp_seq=88 ttl=116 time=34.0 ms
1408 bytes from 8.8.8.8: icmp_seq=89 ttl=116 time=37.1 ms
1408 bytes from 8.8.8.8: icmp_seq=90 ttl=116 time=38.0 ms
1408 bytes from 8.8.8.8: icmp_seq=91 ttl=116 time=40.0 ms
1408 bytes from 8.8.8.8: icmp_seq=92 ttl=116 time=40.5 ms
1408 bytes from 8.8.8.8: icmp_seq=93 ttl=116 time=56.1 ms
1408 bytes from 8.8.8.8: icmp_seq=94 ttl=116 time=37.8 ms
1408 bytes from 8.8.8.8: icmp_seq=95 ttl=116 time=41.2 ms
1408 bytes from 8.8.8.8: icmp_seq=96 ttl=116 time=45.9 ms
1408 bytes from 8.8.8.8: icmp_seq=97 ttl=116 time=56.4 ms
1408 bytes from 8.8.8.8: icmp_seq=98 ttl=116 time=35.7 ms
1408 bytes from 8.8.8.8: icmp_seq=99 ttl=116 time=40.3 ms
1408 bytes from 8.8.8.8: icmp_seq=100 ttl=116 time=33.7 ms
1408 bytes from 8.8.8.8: icmp_seq=101 ttl=116 time=64.3 ms
1408 bytes from 8.8.8.8: icmp_seq=102 ttl=116 time=46.0 ms
1408 bytes from 8.8.8.8: icmp_seq=103 ttl=116 time=24.0 ms
