Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_163551/scenario_1_Browsing.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_163551/scenario_1_Browsing.mi2log

  [0.7s] 8486 bytes, 48 packets decoded
  [0.7s] 8550 bytes, 48 packets decoded
  [0.7s] 8614 bytes, 49 packets decoded
  [0.7s] 8678 bytes, 50 packets decoded
  [0.8s] 8718 bytes, 51 packets decoded
  [2.2s] 8782 bytes, 51 packets decoded
  [2.2s] 8846 bytes, 51 packets decoded
  [2.2s] 8910 bytes, 51 packets decoded
  [2.2s] 8974 bytes, 52 packets decoded
  [2.2s] 9038 bytes, 52 packets decoded
  [2.2s] 9102 bytes, 53 packets decoded
  [2.2s] 9166 bytes, 54 packets decoded
  [2.2s] 9230 bytes, 55 packets decoded
  [2.2s] 9294 bytes, 56 packets decoded
  [2.2s] 9358 bytes, 56 packets decoded
  [2.2s] 9422 bytes, 57 packets decoded
  [2.2s] 9486 bytes, 57 packets decoded
  [2.2s] 9550 bytes, 57 packets decoded
  [2.2s] 9614 bytes, 58 packets decoded
  [2.2s] 9678 bytes, 59 packets decoded
  [2.2s] 9742 bytes, 60 packets decoded
  [2.2s] 9806 bytes, 61 packets decoded
  [2.2s] 9870 bytes, 61 packets decoded
  [2.2s] 9934 bytes, 62 packets decoded
  [2.2s] 9998 bytes, 63 packets decoded
  [2.2s] 10062 bytes, 63 packets decoded
  [2.2s] 10126 bytes, 63 packets decoded
  [2.2s] 10190 bytes, 64 packets decoded
  [2.2s] 10254 bytes, 64 packets decoded
  [2.2s] 10318 bytes, 65 packets decoded
  [2.2s] 10382 bytes, 65 packets decoded
  [2.2s] 10446 bytes, 65 packets decoded
  [2.2s] 10510 bytes, 65 packets decoded
  [2.2s] 10574 bytes, 65 packets decoded
  [2.2s] 10638 bytes, 65 packets decoded
  [2.2s] 10702 bytes, 65 packets decoded
  [2.2s] 10766 bytes, 66 packets decoded
  [2.2s] 10830 bytes, 66 packets decoded
  [2.2s] 10894 bytes, 66 packets decoded
  [2.2s] 10958 bytes, 67 packets decoded
  [2.2s] 11022 bytes, 67 packets decoded
  [2.2s] 11086 bytes, 67 packets decoded
  [2.2s] 11150 bytes, 68 packets decoded
  [2.2s] 11214 bytes, 68 packets decoded
  [2.2s] 11278 bytes, 68 packets decoded
  [2.2s] 11342 bytes, 69 packets decoded
  [2.2s] 11406 bytes, 69 packets decoded
  [2.2s] 11470 bytes, 69 packets decoded
  [2.2s] 11534 bytes, 69 packets decoded
  [2.2s] 11598 bytes, 69 packets decoded
  [2.2s] 11662 bytes, 69 packets decoded
  [2.2s] 11726 bytes, 69 packets decoded
  [2.2s] 11790 bytes, 70 packets decoded
  [2.2s] 11854 bytes, 70 packets decoded
  [2.2s] 11918 bytes, 70 packets decoded
  [2.2s] 11982 bytes, 70 packets decoded
  [2.2s] 12046 bytes, 70 packets decoded
  [2.2s] 12110 bytes, 70 packets decoded
  [2.2s] 12174 bytes, 70 packets decoded
  [2.2s] 12238 bytes, 70 packets decoded
  [2.2s] 12302 bytes, 70 packets decoded
  [2.2s] 12366 bytes, 70 packets decoded
  [2.2s] 12430 bytes, 70 packets decoded
  [2.2s] 12494 bytes, 70 packets decoded
  [2.2s] 12558 bytes, 70 packets decoded
  [2.2s] 12622 bytes, 71 packets decoded
  [2.2s] 12686 bytes, 72 packets decoded
  [2.2s] 12750 bytes, 72 packets decoded
